Training...
Step 1112 | Train Loss: 0.2748 | last_energy: -5.862406253814697
Step 1116 | Train Loss: 0.2753 | last_energy: -5.845822334289551
Step 1120 | Train Loss: 0.3016 | last_energy: -6.15931510925293
Step 1124 | Train Loss: 0.2686 | last_energy: -6.192517280578613
Step 1128 | Train Loss: 0.2507 | last_energy: -6.242232322692871
Step 1132 | Train Loss: 0.2459 | last_energy: -6.200742244720459
Step 1136 | Train Loss: 0.2446 | last_energy: -5.585666656494141
Step 1140 | Train Loss: 0.2884 | last_energy: -6.018455505371094
Step 1144 | Train Loss: 0.2731 | last_energy: -5.679903030395508
Step 1148 | Train Loss: 0.2826 | last_energy: -6.153111457824707
Step 1152 | Train Loss: 0.2701 | last_energy: -6.086084365844727
Step 1156 | Train Loss: 0.3069 | last_energy: -5.826971054077148
Step 1160 | Train Loss: 0.2564 | last_energy: -5.680328369140625
Step 1164 | Train Loss: 0.2755 | last_energy: -7.477666854858398
Step 1168 | Train Loss: 0.2762 | last_energy: -8.618910789489746
Step 1172 | Train Loss: 0.2649 | last_energy: -9.224687576293945
Step 1176 | Train Loss: 0.2777 | last_energy: -9.20977783203125
Step 1180 | Train Loss: 0.2875 | last_energy: -8.839849472045898
Step 1184 | Train Loss: 0.2494 | last_energy: -8.609878540039062
Step 1188 | Train Loss: 0.3109 | last_energy: -9.412752151489258
Step 1192 | Train Loss: 0.2932 | last_energy: -9.277412414550781
Step 1196 | Train Loss: 0.2618 | last_energy: -8.428963661193848
Step 1200 | Train Loss: 0.2824 | last_energy: -7.951871871948242
Saved checkpoint: ./checkpoints/ebt.pth
Step 1204 | Train Loss: 0.2852 | last_energy: -6.936592102050781
Step 1208 | Train Loss: 0.2736 | last_energy: -6.146131992340088
Step 1212 | Train Loss: 0.2912 | last_energy: -6.262415885925293
Step 1216 | Train Loss: 0.2580 | last_energy: -5.861802577972412
Step 1220 | Train Loss: 0.2370 | last_energy: -5.599851131439209
Step 1224 | Train Loss: 0.2681 | last_energy: -5.464017868041992
Step 1228 | Train Loss: 0.2727 | last_energy: -5.534156799316406
Step 1232 | Train Loss: 0.2576 | last_energy: -5.438344955444336
Step 1236 | Train Loss: 0.2750 | last_energy: -6.515146255493164
Step 1240 | Train Loss: 0.2445 | last_energy: -8.203193664550781
Step 1244 | Train Loss: 0.2723 | last_energy: -8.78616714477539
Step 1248 | Train Loss: 0.2659 | last_energy: -8.640604019165039
Step 1252 | Train Loss: 0.2497 | last_energy: -8.062403678894043
Step 1256 | Train Loss: 0.2621 | last_energy: -8.051010131835938
Step 1260 | Train Loss: 0.2863 | last_energy: -8.654647827148438
Step 1264 | Train Loss: 0.2521 | last_energy: -8.64106559753418
Step 1268 | Train Loss: 0.2675 | last_energy: -8.022615432739258
Step 1272 | Train Loss: 0.2732 | last_energy: -6.930096626281738
Step 1276 | Train Loss: 0.2803 | last_energy: -6.853677749633789
Step 1280 | Train Loss: 0.2461 | last_energy: -6.2016167640686035
Step 1284 | Train Loss: 0.2646 | last_energy: -5.554278373718262
Step 1288 | Train Loss: 0.2977 | last_energy: -5.203781604766846
Step 1292 | Train Loss: 0.2736 | last_energy: -5.244093894958496
Step 1296 | Train Loss: 0.2578 | last_energy: -6.674234390258789
Step 1300 | Train Loss: 0.2483 | last_energy: -6.8382720947265625
Step 1304 | Train Loss: 0.2694 | last_energy: -6.716088771820068
Step 1308 | Train Loss: 0.2827 | last_energy: -7.525060653686523
Step 1312 | Train Loss: 0.2393 | last_energy: -6.6736860275268555
Step 1316 | Train Loss: 0.2637 | last_energy: -6.562162399291992
Step 1320 | Train Loss: 0.2373 | last_energy: -5.819375991821289
Step 1324 | Train Loss: 0.2854 | last_energy: -5.846163749694824
