Training...
Step 1000 | Train Loss: 0.1722 | last_energy: -128.9806671142578
Saved checkpoint: ./checkpoints/ebt.pth
Step 1004 | Train Loss: 0.1712 | last_energy: -128.944091796875
Step 1008 | Train Loss: 0.1717 | last_energy: -128.90753173828125
Step 1012 | Train Loss: 0.1601 | last_energy: -128.88906860351562
Step 1016 | Train Loss: 0.1705 | last_energy: -128.84994506835938
Step 1020 | Train Loss: 0.1650 | last_energy: -128.81173706054688
Step 1024 | Train Loss: 0.1729 | last_energy: -128.76544189453125
Step 1028 | Train Loss: 0.1791 | last_energy: -128.74221801757812
Step 1032 | Train Loss: 0.1523 | last_energy: -128.71128845214844
Step 1036 | Train Loss: 0.1783 | last_energy: -128.69808959960938
Step 1040 | Train Loss: 0.1711 | last_energy: -128.65065002441406
Step 1044 | Train Loss: 0.1773 | last_energy: -128.62008666992188
Step 1048 | Train Loss: 0.1619 | last_energy: -128.58175659179688
Step 1052 | Train Loss: 0.1445 | last_energy: -128.54818725585938
Step 1056 | Train Loss: 0.1795 | last_energy: -128.52737426757812
Step 1060 | Train Loss: 0.1594 | last_energy: -128.50051879882812
Step 1064 | Train Loss: 0.1736 | last_energy: -128.4627685546875
Step 1068 | Train Loss: 0.1950 | last_energy: -128.43963623046875
Step 1072 | Train Loss: 0.1932 | last_energy: -128.3980712890625
Step 1076 | Train Loss: 0.1882 | last_energy: -128.36590576171875
Step 1080 | Train Loss: 0.2004 | last_energy: -128.32289123535156
Step 1084 | Train Loss: 0.1884 | last_energy: -128.3017578125
Step 1088 | Train Loss: 0.1781 | last_energy: -128.2555694580078
Step 1092 | Train Loss: 0.1536 | last_energy: -128.23065185546875
Step 1096 | Train Loss: 0.1564 | last_energy: -128.2021484375
Step 1100 | Train Loss: 0.1684 | last_energy: -128.16583251953125
Step 1104 | Train Loss: 0.1747 | last_energy: -128.13795471191406
Step 1108 | Train Loss: 0.1931 | last_energy: -128.1092529296875
Step 1112 | Train Loss: 0.1889 | last_energy: -128.07591247558594
Step 1116 | Train Loss: 0.1948 | last_energy: -128.03955078125
Step 1120 | Train Loss: 0.1583 | last_energy: -128.0048370361328
Step 1124 | Train Loss: 0.1904 | last_energy: -127.96858215332031
Step 1128 | Train Loss: 0.1910 | last_energy: -127.93040466308594
Step 1132 | Train Loss: 0.1481 | last_energy: -127.90574645996094
Step 1136 | Train Loss: 0.1653 | last_energy: -127.88642883300781
Step 1140 | Train Loss: 0.1554 | last_energy: -127.84587860107422
Step 1144 | Train Loss: 0.1589 | last_energy: -127.81521606445312
Step 1148 | Train Loss: 0.1731 | last_energy: -127.78248596191406
Step 1152 | Train Loss: 0.1801 | last_energy: -127.74591064453125
Step 1156 | Train Loss: 0.1695 | last_energy: -127.70472717285156
Step 1160 | Train Loss: 0.1563 | last_energy: -127.6927490234375
Step 1164 | Train Loss: 0.1764 | last_energy: -127.66357421875
Step 1168 | Train Loss: 0.1708 | last_energy: -127.62578582763672
Step 1172 | Train Loss: 0.1886 | last_energy: -127.58941650390625
Step 1176 | Train Loss: 0.1697 | last_energy: -127.5574722290039
Step 1180 | Train Loss: 0.1813 | last_energy: -127.51890563964844
Step 1184 | Train Loss: 0.1720 | last_energy: -127.48743438720703
Step 1188 | Train Loss: 0.1975 | last_energy: -127.46163940429688
